               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063506,            0.020719,             0.11001,            0.010746,             0.29401,            0.025116,            0.014043,            0.044643,             0.05191,             0.10725,             0.00173,             0.00173,             0.08443
                   1,            0.034703,            0.014025,             0.10525,             0.01483,             0.24083,            0.033759,            0.022131,            0.042646,            0.048305,             0.10496,           0.0034698,           0.0034698,             0.06877
                   2,            0.030804,            0.011386,             0.10283,            0.014531,             0.24849,            0.027783,            0.014354,            0.048972,             0.04754,             0.10355,            0.005209,            0.005209,            0.053109
                   3,            0.032755,            0.010807,             0.10129,            0.027016,             0.21614,            0.049708,            0.032046,            0.044808,            0.047901,             0.10243,           0.0069469,           0.0069469,            0.037447
                   4,            0.030107,            0.010238,            0.099221,            0.058496,             0.14113,             0.04413,            0.030028,             0.07143,            0.061837,              0.1036,           0.0086831,           0.0086831,            0.021783
                   5,            0.029593,            0.010337,            0.095766,             0.43973,             0.13097,            0.086729,            0.051361,            0.054115,            0.055591,            0.098886,           0.0099877,           0.0099877,           0.0099877
                   6,            0.029535,            0.010348,            0.089952,             0.68519,              0.1308,             0.15427,             0.09443,            0.044751,            0.045242,            0.093792,           0.0099877,           0.0099877,           0.0099877
                   7,            0.029643,            0.010049,            0.082898,             0.29254,             0.10328,            0.079438,            0.041433,            0.096876,            0.060261,             0.10177,           0.0099822,           0.0099822,           0.0099822
                   8,            0.030091,            0.010216,            0.075953,               0.533,             0.23702,             0.22252,             0.14861,            0.041519,            0.040302,            0.087024,           0.0099758,           0.0099758,           0.0099758
                   9,            0.030752,            0.010017,            0.069136,             0.44106,             0.27902,             0.25843,             0.16883,             0.04186,            0.039665,            0.083745,           0.0099685,           0.0099685,           0.0099685
                  10,            0.031102,            0.010183,            0.064544,             0.46346,             0.26874,             0.26661,             0.17022,            0.049531,            0.051521,            0.082733,           0.0099601,           0.0099601,           0.0099601
                  11,            0.031745,            0.010317,            0.059646,             0.38379,              0.2198,             0.22146,              0.1418,            0.068466,            0.065094,            0.085419,           0.0099508,           0.0099508,           0.0099508
                  12,            0.032238,            0.010721,            0.056028,             0.43722,             0.22109,             0.24142,              0.1367,            0.065176,            0.062817,             0.08452,           0.0099404,           0.0099404,           0.0099404
                  13,            0.032698,            0.010508,            0.053224,             0.41118,             0.29408,             0.28837,             0.18799,            0.053513,            0.058957,            0.083409,           0.0099291,           0.0099291,           0.0099291
                  14,            0.032927,            0.010425,            0.048567,             0.55805,              0.2195,             0.23477,             0.14558,            0.073101,            0.066778,            0.090355,           0.0099169,           0.0099169,           0.0099169
                  15,            0.032375,            0.010292,            0.045915,             0.54486,             0.34309,             0.36494,             0.22281,            0.050529,            0.053931,            0.071504,           0.0099037,           0.0099037,           0.0099037
                  16,            0.033421,            0.010304,            0.041885,             0.47574,             0.36338,             0.35909,              0.2256,            0.049842,            0.053891,            0.073374,           0.0098895,           0.0098895,           0.0098895
                  17,            0.033404,            0.010137,             0.03932,             0.50401,             0.27853,             0.26585,             0.16875,             0.06457,            0.061204,            0.088545,           0.0098743,           0.0098743,           0.0098743
                  18,            0.033478,            0.010047,            0.036423,             0.56286,             0.32158,             0.34514,              0.2061,            0.057629,            0.060617,            0.072341,           0.0098582,           0.0098582,           0.0098582
                  19,            0.032868,            0.010093,            0.034323,             0.50635,             0.31116,             0.32639,             0.20244,             0.06211,            0.066947,            0.070458,           0.0098412,           0.0098412,           0.0098412
                  20,            0.032745,             0.01004,            0.033009,             0.50317,             0.40008,             0.40662,             0.26014,            0.048731,            0.049091,            0.071244,           0.0098232,           0.0098232,           0.0098232
                  21,            0.032353,            0.010062,            0.032468,              0.5044,             0.33606,             0.35146,             0.22552,            0.057571,            0.061721,             0.07348,           0.0098042,           0.0098042,           0.0098042
                  22,            0.032823,           0.0098149,            0.029913,             0.58412,             0.35533,             0.38421,             0.24357,            0.051922,            0.056179,             0.07139,           0.0097843,           0.0097843,           0.0097843
                  23,            0.032622,           0.0098376,            0.028369,             0.52586,             0.31476,             0.32653,             0.19758,            0.061296,            0.061518,            0.077156,           0.0097635,           0.0097635,           0.0097635
                  24,             0.03309,           0.0099651,            0.028735,             0.49485,             0.28002,             0.29393,             0.19026,            0.067753,            0.070468,            0.077721,           0.0097418,           0.0097418,           0.0097418
                  25,            0.032591,           0.0099861,            0.025695,             0.64168,             0.35316,             0.39527,              0.2491,            0.055526,            0.058573,            0.070143,           0.0097191,           0.0097191,           0.0097191
                  26,            0.032262,            0.009886,            0.024894,             0.45837,              0.3327,             0.32592,             0.20718,            0.066195,            0.067325,             0.07759,           0.0096955,           0.0096955,           0.0096955
                  27,            0.032231,           0.0098083,            0.025148,             0.56593,             0.33777,              0.3757,             0.23114,            0.055395,            0.057962,            0.073631,            0.009671,            0.009671,            0.009671
                  28,            0.031739,           0.0098121,             0.02405,             0.51453,             0.33735,             0.34887,             0.22103,            0.064126,            0.065882,            0.070365,           0.0096456,           0.0096456,           0.0096456
                  29,            0.032064,           0.0098365,            0.023367,             0.50317,             0.43938,             0.43218,             0.28879,            0.052333,             0.05636,            0.070642,           0.0096193,           0.0096193,           0.0096193
                  30,            0.031642,            0.009878,            0.022778,             0.49449,             0.42763,             0.42609,             0.28353,            0.052229,             0.05541,            0.071387,           0.0095921,           0.0095921,           0.0095921
                  31,            0.031164,           0.0096219,            0.021491,             0.60437,             0.28903,             0.31337,             0.21604,            0.071482,            0.075862,            0.077316,            0.009564,            0.009564,            0.009564
                  32,            0.031228,           0.0095168,            0.021321,             0.53459,             0.35097,              0.3671,             0.24957,            0.061783,            0.066132,            0.072479,           0.0095351,           0.0095351,           0.0095351
                  33,            0.031477,            0.009575,            0.020514,             0.54459,             0.35035,             0.35681,             0.23676,            0.065753,            0.068791,            0.072414,           0.0095052,           0.0095052,           0.0095052
                  34,            0.031099,           0.0095295,            0.021038,             0.47857,             0.41845,             0.40335,             0.26527,            0.056657,             0.06226,            0.074844,           0.0094745,           0.0094745,           0.0094745
                  35,            0.030659,           0.0096117,             0.01948,             0.63136,             0.41106,             0.43559,             0.27655,             0.05175,            0.059027,            0.068457,            0.009443,            0.009443,            0.009443
                  36,            0.031244,            0.009494,            0.018861,              0.7011,              0.3875,             0.42998,             0.28966,            0.055205,            0.061012,            0.068051,           0.0094106,           0.0094106,           0.0094106
                  37,            0.031117,             0.00954,            0.017715,             0.61686,             0.37359,             0.39188,             0.25602,            0.057586,            0.063472,            0.070034,           0.0093773,           0.0093773,           0.0093773
                  38,            0.030953,           0.0095265,            0.018358,             0.65899,             0.35919,             0.39491,             0.27006,            0.060328,            0.065062,            0.069599,           0.0093432,           0.0093432,           0.0093432
                  39,            0.030189,           0.0095313,            0.018146,             0.64163,             0.38426,             0.41799,             0.28402,            0.055141,            0.065487,            0.068235,           0.0093083,           0.0093083,           0.0093083
                  40,             0.03051,           0.0094309,            0.017443,             0.69738,             0.39546,             0.43437,             0.28534,            0.055608,            0.061729,             0.07056,           0.0092726,           0.0092726,           0.0092726
                  41,            0.030099,           0.0093139,            0.016885,             0.62281,             0.40333,             0.43321,             0.29145,            0.054075,            0.065273,            0.067648,           0.0092361,           0.0092361,           0.0092361
                  42,             0.03047,           0.0093521,            0.016434,             0.59631,             0.38575,             0.40261,              0.2749,            0.056576,            0.063616,            0.070567,           0.0091987,           0.0091987,           0.0091987
                  43,            0.030414,           0.0093267,            0.016018,             0.62637,             0.35498,             0.39839,             0.27179,            0.056527,            0.067686,            0.074389,           0.0091606,           0.0091606,           0.0091606
                  44,            0.030457,           0.0092556,            0.015164,             0.65142,             0.44645,             0.46909,             0.32487,            0.053789,            0.058136,             0.06251,           0.0091217,           0.0091217,           0.0091217
                  45,            0.029812,            0.009323,            0.015451,             0.63347,             0.40635,             0.42952,             0.29547,            0.058651,            0.062439,            0.065759,           0.0090821,           0.0090821,           0.0090821
                  46,            0.029795,           0.0094128,            0.015582,             0.71556,             0.39397,             0.44628,             0.30175,            0.052845,            0.060915,            0.069598,           0.0090416,           0.0090416,           0.0090416
                  47,             0.02965,           0.0093972,            0.014764,             0.53457,             0.37669,             0.38931,             0.26146,            0.057644,            0.070622,            0.070228,           0.0090004,           0.0090004,           0.0090004
                  48,            0.029613,           0.0091996,            0.014812,             0.63399,             0.42996,             0.45831,             0.30545,            0.054963,            0.062608,            0.064415,           0.0089585,           0.0089585,           0.0089585
                  49,            0.029076,           0.0090881,            0.014089,             0.70235,              0.3976,                0.45,             0.30858,            0.052534,            0.060261,            0.066339,           0.0089159,           0.0089159,           0.0089159
                  50,            0.029019,           0.0091503,            0.013842,              0.6235,              0.4047,             0.42927,             0.29768,            0.057831,            0.064716,            0.065923,           0.0088725,           0.0088725,           0.0088725
